id,naslov,leto,leto-zacetek,leto-konec,zasluzek,glasovi,dolzina,metascore,oznaka,opis,ocena,igralci,zanri
88011,Lov na zeleni diamant,1984,1984,1984,76572238,88834,106,63,,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.",6.9,"[{'id': 140, 'ime': 'Michael Douglas'}, {'id': 678, 'ime': 'Kathleen Turner'}, {'id': 362, 'ime': 'Danny DeVito'}, {'id': 635649, 'ime': 'Zack Norman'}]","['Action', 'Adventure', 'Comedy']"
3316948,American Ultra,2015,2015,2015,14434604,88829,96,50,R,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,6.1,"[{'id': 251986, 'ime': 'Jesse Eisenberg'}, {'id': 829576, 'ime': 'Kristen Stewart'}, {'id': 110168, 'ime': 'Connie Britton'}, {'id': 491, 'ime': 'John Leguizamo'}]","['Action', 'Comedy']"
72500,Fawlty Towers,1975–1979,1975,1979,,88817,30,,,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",8.7,"[{'id': 92, 'ime': 'John Cleese'}, {'id': 768795, 'ime': 'Prunella Scales'}, {'id': 755133, 'ime': 'Andrew Sachs'}, {'id': 95665, 'ime': 'Connie Booth'}]",['Comedy']
165798,Ghost Dog: The Way of the Samurai,1999,1999,1999,3308029,88798,116,67,R,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,7.5,"[{'id': 1845, 'ime': 'Forest Whitaker'}, {'id': 798328, 'ime': 'Henry Silva'}, {'id': 868110, 'ime': 'John Tormey'}, {'id': 331054, 'ime': 'Cliff Gorman'}]","['Action', 'Crime', 'Drama']"
2699128,The Leftovers,2014–2017,2014,2017,,88780,60,,,"Three years after the disappearance of two percent of the global population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.",8.3,"[{'id': 857620, 'ime': 'Justin Theroux'}, {'id': 312, 'ime': 'Amy Brenneman'}, {'id': 1172, 'ime': 'Christopher Eccleston'}, {'id': 239, 'ime': 'Liv Tyler'}]","['Drama', 'Fantasy', 'Mystery']"
1164999,Cudovito,2010,2010,2010,5101237,88764,148,58,R,A man dying of cancer tries his best to leave the world on his own terms.,7.5,"[{'id': 849, 'ime': 'Javier Bardem'}, {'id': 3159825, 'ime': 'Maricel Álvarez'}, {'id': 3904817, 'ime': 'Hanaa Bouchaib'}, {'id': 3127008, 'ime': 'Guillermo Estrella'}]","['Drama', 'Romance']"
837563,Pet Sematary,2019,2019,2019,54724696,88750,101,57,R,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",5.7,"[{'id': 164809, 'ime': 'Jason Clarke'}, {'id': 1541272, 'ime': 'Amy Seimetz'}, {'id': 1475, 'ime': 'John Lithgow'}, {'id': 5503448, 'ime': 'Jeté Laurence'}]","['Horror', 'Mystery', 'Thriller']"
101761,The Doors,1991,1991,1991,35183792,88707,140,62,R,"The story of the famous and influential 1960s rock band The Doors and its lead singer and composer, Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971.",7.2,"[{'id': 174, 'ime': 'Val Kilmer'}, {'id': 212, 'ime': 'Meg Ryan'}, {'id': 1492, 'ime': 'Kyle MacLachlan'}, {'id': 1844, 'ime': 'Frank Whaley'}]","['Biography', 'Drama', 'Music']"
3949660,Ninja želve: iz senc,2016,2016,2016,82051601,88694,112,40,PG-13,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",6.0,"[{'id': 1083271, 'ime': 'Megan Fox'}, {'id': 4715, 'ime': 'Will Arnett'}, {'id': 1347153, 'ime': 'Tyler Perry'}, {'id': 1473, 'ime': 'Laura Linney'}]","['Animation', 'Action', 'Adventure']"
1029234,Martyrs,2008,2008,2008,,88680,99,,R,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",7.1,"[{'id': 1662011, 'ime': 'Morjana Alaoui'}, {'id': 1227864, 'ime': 'Mylène Jampanoï'}, {'id': 126743, 'ime': 'Catherine Bégin'}, {'id': 869590, 'ime': 'Robert Toupin'}]",['Horror']
