film,oseba,mesto
69097,731634,3
69097,480379,4
69191,55525,1
69191,327436,2
69191,282671,3
69191,208264,4
69280,755310,1
69280,500038,2
69280,733929,3
69280,304535,4
69293,94081,1
69293,52023,2
69293,433525,3
69293,245367,4
69467,27683,1
69467,880521,2
69467,843306,3
69467,862026,4
69495,659,1
69495,641939,2
69495,1404,3
69495,550318,4
69704,377,1
69704,165,2
69704,494432,3
69704,1747,4
69747,86,1
69747,591877,2
69747,216177,3
69747,197950,4
69762,640,1
69762,651,2
69762,643105,3
69762,81560,4
69768,1522,1
69768,15391,2
69768,874353,3
69768,201089,4
69895,140889,1
69895,534032,2
69895,428197,3
69895,390915,4
69945,639321,1
69945,656607,2
69945,621406,3
69945,475157,4
69995,1046,1
69995,661,2
69995,556739,3
69995,558089,4
70034,45,1
70034,768334,2
70034,446485,3
70034,135622,4
70047,995,1
70047,1884,2
70047,304,3
70047,2011,4
70130,52,1
70130,681566,2
70130,634159,3
70130,865575,4
70215,1352,1
70215,20,2
70215,552483,3
70215,35866,4
70290,197,1
70290,1642,2
70290,949935,3
70290,416378,4
70294,1522,1
70294,402281,2
70294,291512,3
70294,720890,4
70328,549,1
70328,1433,2
70328,5412,3
70328,416378,4
70334,1285,1
70334,887684,2
70334,1330,3
70334,41932,4
70379,134,1
70379,172,2
70379,698998,3
70379,732364,4
70511,537,1
70511,163,2
70511,430460,3
70511,330150,4
70544,960,1
70544,1980761,2
70544,62010,3
70544,867622,4
70608,66028,1
70608,365201,2
70608,589248,3
70608,1811,4
70666,199,1
70666,709907,2
70666,444955,3
70666,570161,4
70849,8,1
70849,773932,2
70849,585170,3
70849,302815,4
70903,659,1
70903,602,2
70903,226947,3
70903,1042,4
70909,989,1
70909,907,2
70909,981,3
70909,58991,4
70917,940919,1
70917,489,2
70917,162283,3
70917,1180,4
70948,125,1
70948,1648,2
70948,450414,3
70948,17596,4
71075,59,1
71075,817553,2
71075,364207,3
71075,249075,4
71115,995,1
71115,1434,2
71115,70592,3
71115,527501,4
71141,591930,1
71141,373289,2
71141,884157,3
71141,379258,4
71230,1476,1
71230,698,2
71230,1620,3
71230,466327,4
71315,197,1
71315,1159,2
71315,1379,3
71315,520164,4
71360,432,1
71360,1030,2
71360,307255,3
71360,2078,4
71411,613364,1
71411,813272,2
71411,125730,3
71411,1276196,4
71455,32,1
71455,1257,2
71455,1421,3
71455,1296,4
71487,108400,1
71487,148041,2
71487,681566,3
71487,900143,4
71524,493,1
71524,527,2
71524,215,3
71524,306696,4
71562,199,1
71562,134,2
71562,380,3
71562,473,4
71577,602,1
71577,1201,2
71577,1136,3
71577,947,4
71746,163,1
71746,674781,2
71746,591149,3
71746,65282,4
71807,549,1
71807,489,2
71807,1180,3
71807,726,4
71853,1037,1
71853,92,2
71853,1385,3
71853,416,4
71910,1958,1
71910,1648,2
71910,6573,3
71910,275213,4
72251,527,1
72251,1727,2
72251,842,3
72251,1185,4
72271,122782,1
72271,623605,2
72271,200758,3
72271,663935,4
72288,142,1
72288,313,2
72288,507212,3
72288,280,4
72417,1687,1
72417,393,2
72417,237134,3
72417,746767,4
72431,698,1
72431,1404,2
72431,1204,3
72431,1967,4
72500,92,1
72500,768795,2
72500,755133,3
72500,95665,4
72684,641939,1
72684,1943,2
72684,535861,3
72684,473228,4
72783,4429,1
72783,846616,2
72783,821,3
72783,80149,4
73000,287606,1
73000,369318,2
73000,373902,3
73000,433131,4
73195,1702,1
73195,1727,2
73195,377,3
73195,308882,4
73440,1018,1
73440,947,2
73440,86867,3
73440,1167,4
73486,197,1
73486,1221,2
73486,77720,3
73486,110480,4
73580,197,1
73580,773932,2
73580,750192,3
73580,376915,4
73629,347,1
73629,215,2
73629,960,3
