id,naslov,leto-zacetek,leto-konec,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
48280,Lady and the Tramp,1955,1955,76,1955,7.3,78,129007,93600000,G,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
48356,Marty,1955,1955,90,1955,7.7,,23185,,,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.
48424,Noc lovca,1955,1955,92,1955,8.0,99,86008,654000,,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
48445,Oklahoma!,1955,1955,145,1955,7.1,74,12187,,,"In Oklahoma, several farmers, cowboys and a traveling salesman compete for the romantic favors of various local ladies."
48452,Ordet,1955,1955,126,1955,8.3,,15110,,,"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town."
48473,Pather Panchali,1955,1955,125,1955,8.5,,29091,536364,,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
48545,Upornik brez razloga,1955,1955,111,1955,7.7,89,87321,,,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
48641,Sommarnattens leende,1955,1955,109,1955,7.8,,13225,,,"In Sweden at the turn of the century, members of the upper class and their servants find themselves in a romantic tangle that they try to work out amidst jealousy and heartbreak."
48728,Ujeti tatu,1955,1955,106,1955,7.4,82,69619,8750000,PG,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.
48956,Aparajito,1956,1956,110,1956,8.3,,13185,170215,,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone."
48960,Around the World in 80 Days,1956,1956,167,1956,6.8,,26253,42000000,,A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.
