film,zanr
67959,Drama
67992,Family
67992,Fantasy
67992,Musical
68098,Comedy
68098,Drama
68098,War
68154,Comedy
68154,Western
68182,Action
68182,Adventure
68182,Biography
68327,Drama
68327,Music
68327,Musical
68408,Action
68408,Sci-Fi
68473,Adventure
68473,Drama
68473,Thriller
68612,Animation
68612,Comedy
68612,Drama
68638,Action
68638,Crime
68638,Thriller
68646,Crime
68646,Drama
68699,Drama
68699,Mystery
68699,Western
68762,Adventure
68762,Drama
68762,Western
68767,Action
68767,Drama
68767,Romance
68931,Action
68931,Crime
68931,Thriller
69089,Comedy
69089,Crime
69097,Comedy
69097,Romance
69191,Comedy
69191,Drama
69280,Comedy
69280,Drama
69280,Sci-Fi
69293,Drama
69293,Mystery
69293,Sci-Fi
69467,Drama
69495,Comedy
69704,Comedy
69704,Drama
69747,Adventure
69747,Comedy
69762,Action
69762,Crime
69762,Drama
69768,Action
69768,Sci-Fi
69895,Action
69895,Horror
69895,Sci-Fi
69945,Comedy
69945,Sci-Fi
69995,Drama
69995,Horror
69995,Mystery
70034,Action
70034,Crime
70034,Drama
70047,Horror
70130,Comedy
70130,Drama
70215,Comedy
70215,Western
70290,Comedy
70290,Drama
70294,Horror
70328,Action
70328,Adventure
70328,Thriller
70334,Comedy
70334,Crime
70334,Drama
70379,Crime
70379,Drama
70379,Thriller
70511,Biography
70511,Crime
70511,Drama
70544,Animation
70544,Sci-Fi
70608,Adventure
70608,Animation
70608,Comedy
70666,Biography
70666,Crime
70666,Drama
70849,Drama
70849,Romance
70903,Drama
70903,Romance
70909,Action
70909,Sci-Fi
70909,Thriller
70917,Horror
70917,Mystery
70917,Thriller
70948,Adventure
70948,Fantasy
70948,Sci-Fi
71075,Documentary
71075,History
71075,War
71115,Drama
71115,Romance
71141,Drama
71141,Romance
71230,Comedy
71230,Western
71315,Drama
71315,Mystery
71315,Thriller
71360,Drama
71360,Mystery
71360,Thriller
71411,Adventure
71411,Biography
71411,Drama
71455,Action
71455,Drama
71455,Thriller
71487,Comedy
71524,Comedy
71524,Drama
71524,Romance
71562,Crime
71562,Drama
71577,Drama
71577,Romance
71746,Biography
71746,Drama
71807,Action
71807,Adventure
71807,Thriller
71853,Adventure
71853,Comedy
71853,Fantasy
71910,Drama
72251,Action
72251,Crime
72251,Thriller
